row_no	action	file	old_id	new_id	source_text	translation	note
30	kept_wildcard	tbl1.pak	*	*	Bardock's Fan	巴达克的粉丝	hits=1
33	kept_wildcard	tbl1.pak	*	*	Bright Red Dragon	奥西里斯之天空龙	hits=2
34	kept_wildcard	tbl1.pak	*	*	Shiny Blue Dragon	欧贝利斯克之巨神兵	hits=3
35	kept_wildcard	tbl1.pak	*	*	Legendary Super Saiyan (Super)	传说超级赛亚人(超)	hits=1
36	kept_wildcard	tbl1.pak	*	*	Golden Oozaru	黄金巨猿	hits=4
37	kept_wildcard	tbl1.pak	*	*	Tournament Bacterian	武道会细菌队长	hits=1
38	kept_wildcard	tbl1.pak	*	*	Tournament Giran	武道会基兰	hits=1
39	kept_wildcard	tbl1.pak	*	*	Tournament Chaos	武道会饺子	hits=1
40	kept_wildcard	tbl1.pak	*	*	Tournament King Chappa	武道会查帕王	hits=1
41	kept_wildcard	tbl1.pak	*	*	Tournament Tien	武道会天津饭	hits=1
42	kept_wildcard	tbl1.pak	*	*	Tournament Yamcha	武道会雅木茶	hits=1
43	kept_wildcard	tbl1.pak	*	*	Tournament Goku	武道会孙悟空	hits=1
44	kept_wildcard	tbl1.pak	*	*	Goku(Super)	孙悟空(超)	hits=2
45	kept_wildcard	tbl1.pak	*	*	Vegeta(Super)	贝吉塔(超)	hits=2
46	kept_wildcard	tbl1.pak	*	*	Increase Physical Defense Penetration %d%%	增加物理防御穿透%d%%	hits=2
47	kept_wildcard	tbl1.pak	*	*	Increase Energy Defense Penetration %d%%	增加气功防御穿透%d%%	hits=2
48	kept_wildcard	tbl1.pak	*	*	Increase Defense Penetration %d%%	增加防御穿透%d%%	hits=2
51	relocated_unique	tbl1.pak	0x017145A7	0x017146F3	Shadow Mech Dragon X	暗影机械暴龙X	utf16
52	relocated_unique	tbl1.pak	0x01713BC3	0x01713D0F	Ozaru Broly	巨猿布罗利	utf16
55	commented_ambiguous	tbl1.pak	0x0172CD3A		Goku's Fan	孙悟空的粉丝	hits=2
56	converted_wildcard	tbl1.pak	0x016F60C7	*	Raditz	拉蒂兹	hits=50
57	kept_valid	tbl1.pak	0x004860D9	0x004860D9	Vegeta	贝吉塔	ascii
58	commented_ambiguous	tbl1.pak	0x016E9E0D		Ozaru Vegeta	巨猿贝吉塔	hits=13
59	commented_ambiguous	tbl1.pak	0x016E9F93		Ozaru Raditz	巨猿拉蒂兹	hits=2
60	commented_ambiguous	tbl1.pak	0x016E9FB1		Ozaru Nappa	巨猿纳帕	hits=2
63	kept_valid	tbl0.pak	0x013B8579	0x013B8579	(Martial) Potion Super Saiyan 1	(武道家)超级赛亚人1药水	utf16
64	kept_valid	tbl0.pak	0x013B86F5	0x013B86F5	(Martial) Potion Super Saiyan 2	(武道家)超级赛亚人2药水	utf16
65	kept_valid	tbl0.pak	0x013B8871	0x013B8871	(Martial) Potion Super Saiyan 3	(武道家)超级赛亚人3药水	utf16
66	kept_valid	tbl0.pak	0x013B9159	0x013B9159	(Martial) Potion Super Saiyan 4	(武道家)超级赛亚人4药水	utf16
67	kept_valid	tbl0.pak	0x013BCB3D	0x013BCB3D	(Martial) Capsule Super Saiyan 1	(武道家)超级赛亚人1胶囊	utf16
68	kept_valid	tbl0.pak	0x013BCCB9	0x013BCCB9	(Martial) Capsule Super Saiyan 2	(武道家)超级赛亚人2胶囊	utf16
69	kept_valid	tbl0.pak	0x013BCE35	0x013BCE35	(Martial) Capsule Super Saiyan 3	(武道家)超级赛亚人3胶囊	utf16
70	kept_valid	tbl0.pak	0x013BD71D	0x013BD71D	(Martial) Capsule Super Saiyan 4	(武道家)超级赛亚人4胶囊	utf16
71	relocated_unique	tbl1.pak	0x012EACAF	0x012EAD5B	Skill! Power Up (Martial Artist)	技能!力量提升(武道家)	utf16
72	relocated_unique	tbl1.pak	0x012EAD67	0x012EAE13	Skill! Power Up (Spiritualist)	技能!力量提升(气功师)	utf16
73	relocated_unique	tbl1.pak	0x012EAEC5	0x012EAF71	Skill! Power Up (Dragon Clan)	技能!力量提升(那美克龙族)	utf16
74	relocated_unique	tbl1.pak	0x012EB02B	0x012EB0D7	Skill! Power Up (Wonder Majin)	技能!力量提升(意魔人)	utf16
75	relocated_unique	tbl1.pak	0x012EB0DF	0x012EB18B	Skill! Guard (Martial Artist)	技能!防御(武道家)	utf16
76	relocated_unique	tbl1.pak	0x012EB18B	0x012EB237	Skill! Guard (Spiritualist)	技能!防御(气功师)	utf16
77	relocated_unique	tbl1.pak	0x012EB2D1	0x012EB37D	Skill! Guard (Dragon Clan)	技能!防御(那美克龙族)	utf16
78	relocated_unique	tbl1.pak	0x012EB41F	0x012EB4CB	Skill! Guard (Wonder Majin)	技能!防御(意魔人)	utf16
79	relocated_unique	tbl1.pak	0x012EB4C7	0x012EB573	Skill! Dash (Martial Artist)	技能!冲刺(武道家)	utf16
80	relocated_unique	tbl1.pak	0x012EB56F	0x012EB61B	Skill! Dash (Spiritualist)	技能!冲刺(气功师)	utf16
81	relocated_unique	tbl1.pak	0x012EB6AD	0x012EB759	Skill! Dash (Dragon Clan)	技能!冲刺(那美克龙族)	utf16
82	relocated_unique	tbl1.pak	0x012EB7F3	0x012EB89F	Skill! Dash (Wonder Majin)	技能!冲刺(意魔人)	utf16
83	relocated_unique	tbl1.pak	0x012EB897	0x012EB943	Skill! Counter Attack (Martial Artist)	技能!反击(武道家)	utf16
84	relocated_unique	tbl1.pak	0x012EB967	0x012EBA13	Skill! Counter Attack (Spiritualist)	技能!反击(气功师)	utf16
85	relocated_unique	tbl1.pak	0x012EBAF5	0x012EBBA1	Skill! Counter Attack (Dragon Clan)	技能!反击(那美克龙族)	utf16
86	relocated_unique	tbl1.pak	0x012EBC8B	0x012EBD37	Acquired Counter Attack Skill! (Wonder Majin)	已习得反击技能!(意魔人)	utf16
87	relocated_unique	tbl1.pak	0x014B54FD	0x014B55A9	(Martial)Rainbow Shenron Buff	(武道家)彩虹神龙增益	utf16
88	relocated_unique	tbl1.pak	0x014B553D	0x014B55E9	(Spiritualist)Rainbow Shenron Buff	(气功师)彩虹神龙增益	utf16
89	relocated_unique	tbl1.pak	0x014B5587	0x014B5633	(Namek Warrior)Rainbow Shenron Buff	(那美克战士)彩虹神龙增益	utf16
90	relocated_unique	tbl1.pak	0x014B55D3	0x014B567F	(Dragon Clan)Rainbow Shenron Buff	(那美克龙族)彩虹神龙增益	utf16
91	relocated_unique	tbl1.pak	0x014B561B	0x014B56C7	(Might Majin)Rainbow Shenron Buff	(大魔人)彩虹神龙增益	utf16
92	relocated_unique	tbl1.pak	0x014B5663	0x014B570F	(Wonder Majin)Rainbow Shenron Buff	(意魔人)彩虹神龙增益	utf16
93	commented_ambiguous	tbl1.pak	0x015E285F		Flight Skill (Martial Art)	飞行技能(武道家)	hits=2
94	converted_wildcard	tbl1.pak	0x015E28F1	*	Flight Skill (Spiritualist)	飞行技能(气功师)	hits=2
95	converted_wildcard	tbl1.pak	0x015E2A0F	*	Flight Skill (Dragon Clan)	飞行技能(那美克龙族)	hits=2
96	converted_wildcard	tbl1.pak	0x015E2B35	*	Flight Skill (Wonder Majin)	飞行技能(意魔人)	hits=2
97	relocated_unique	tbl1.pak	0x0162AA4B	0x0162AAF7	Monkey Rock Throw (Martial)	大猿投石(武道家)	utf16
98	relocated_unique	tbl1.pak	0x0162AB7D	0x0162AC29	Tremor (Martial)	震地(武道家)	utf16
99	relocated_unique	tbl1.pak	0x0162ABA3	0x0162AC4F	Oozaru Beam (Martial)	大猿光束(武道家)	utf16
100	relocated_unique	tbl1.pak	0x0162AC49	0x0162ACF5	Oozaru Roar (Martial)	大猿咆哮(武道家)	utf16
101	relocated_unique	tbl1.pak	0x0162ACD5	0x0162AD81	Monkey Rock Throw (Spiritualist)	大猿投石(气功师)	utf16
102	relocated_unique	tbl1.pak	0x0162AD1B	0x0162ADC7	Tremor (Spiritualist)	震地(气功师)	utf16
103	relocated_unique	tbl1.pak	0x0162AD4B	0x0162ADF7	Oozaru Roar (Spiritualist)	大猿咆哮(气功师)	utf16
104	relocated_unique	tbl1.pak	0x0162AD85	0x0162AE31	Oozaru Beam (Spiritualist)	大猿光束(气功师)	utf16
105	relocated_unique	tbl1.pak	0x016B5D6D	0x016B5E19	(Martial)Moro Power Buff	(武道家)摩罗力量增益	utf16
106	relocated_unique	tbl1.pak	0x016B5E0B	0x016B5EB7	(Spiritualist)Moro Power Buff	(气功师)摩罗力量增益	utf16
107	relocated_unique	tbl1.pak	0x016B5E4B	0x016B5EF7	(Namek Warrior)Moro Power Buff	(那美克战士)摩罗力量增益	utf16
108	relocated_unique	tbl1.pak	0x016B5E8D	0x016B5F39	(Dragon Clan)Moro Power Buff	(那美克龙族)摩罗力量增益	utf16
109	relocated_unique	tbl1.pak	0x016B5ECB	0x016B5F77	(Might Majin)Moro Power Buff	(大魔人)摩罗力量增益	utf16
110	relocated_unique	tbl1.pak	0x016B5F09	0x016B5FB5	(Wonder Majin)Moro Power Buff	(意魔人)摩罗力量增益	utf16
111	relocated_unique	tbl1.pak	0x016B871F	0x016B87CB	(Martial)Legendary Super Saiyan(Super)	(武道家)传说超级赛亚人(超)	utf16
112	relocated_unique	tbl1.pak	0x016B87A1	0x016B884D	(Spiritualist)Legendary Super Saiyan(Super)	(气功师)传说超级赛亚人(超)	utf16
113	relocated_unique	tbl1.pak	0x016B8833	0x016B88DF	(Spiritualist)Imperator Namek	(那美克龙族)帝王那美克	utf16
114	relocated_unique	tbl1.pak	0x016B8873	0x016B891F	(Might Majin)Xeno Majin	(大魔人)异时空魔人	utf16
115	relocated_unique	tbl1.pak	0x016B88A7	0x016B8953	(Wonder Majin)Xeno Majin	(意魔人)异时空魔人	utf16
116	relocated_unique	tbl1.pak	0x016B89CD	0x016B8A79	(Martial) Potion Super Saiyan 1	(武道家)超级赛亚人1药水	utf16
117	relocated_unique	tbl1.pak	0x016B8A11	0x016B8ABD	(Martial) Potion Super Saiyan 2	(武道家)超级赛亚人2药水	utf16
118	relocated_unique	tbl1.pak	0x016B8A55	0x016B8B01	(Martial) Potion Super Saiyan 3	(武道家)超级赛亚人3药水	utf16
119	relocated_unique	tbl1.pak	0x016B8A99	0x016B8B45	(Martial) Potion Super Saiyan GOD	(武道家)超级赛亚人之神药水	utf16
120	relocated_unique	tbl1.pak	0x016B8AE1	0x016B8B8D	(Martial) Potion Super Saiyan Blue	(武道家)超级赛亚人蓝色药水	utf16
121	relocated_unique	tbl1.pak	0x016B8B2B	0x016B8BD7	(Martial) Potion Super Saiyan Rose	(武道家)超级赛亚人桃红药水	utf16
122	commented_ambiguous	tbl1.pak	0x016B8B75		(Martial) Potion Super Saiyan Legendary	(武道家)传说超级赛亚人药水	hits=2
123	relocated_unique	tbl1.pak	0x016B8C1F	0x016B8CCB	(Martial) Potion Super Saiyan 4	(武道家)超级赛亚人4药水	utf16
124	converted_wildcard	tbl1.pak	0x016B8C63	*	(Spiritualist) Potion Super Saiyan 1	(气功师)超级赛亚人1药水	hits=2
125	relocated_unique	tbl1.pak	0x016B8CFF	0x016B8DAB	(Spiritualist) Potion Super Saiyan 2	(气功师)超级赛亚人2药水	utf16
126	relocated_unique	tbl1.pak	0x016B8D4D	0x016B8DF9	(Spiritualist) Potion Super Saiyan 3	(气功师)超级赛亚人3药水	utf16
127	relocated_unique	tbl1.pak	0x016B8D9B	0x016B8E47	(Spiritualist) Potion Super Saiyan GOD	(气功师)超级赛亚人之神药水	utf16
128	relocated_unique	tbl1.pak	0x016B8DED	0x016B8E99	(Spiritualist) Potion Super Saiyan BLUE	(气功师)超级赛亚人蓝色药水	utf16
129	relocated_unique	tbl1.pak	0x016B8E41	0x016B8EED	(Spiritualist) Potion Super Saiyan Rose	(气功师)超级赛亚人桃红药水	utf16
130	commented_ambiguous	tbl1.pak	0x016B8E95		(Spiritualist) Potion Super Saiyan Legendary	(气功师)传说超级赛亚人药水	hits=2
131	relocated_unique	tbl1.pak	0x016B8F53	0x016B8FFF	(Spiritualist) Potion Super Saiyan 4	(气功师)超级赛亚人4药水	utf16
132	relocated_unique	tbl1.pak	0x016BE591	0x016BE63D	(Martial) (7 days) Super Saiyan 1	(武道家)(7天)超级赛亚人1	utf16
133	relocated_unique	tbl1.pak	0x016BE5D9	0x016BE685	(Martial) (7 days) Super Saiyan 2	(武道家)(7天)超级赛亚人2	utf16
134	relocated_unique	tbl1.pak	0x016BE621	0x016BE6CD	(Martial) (7 days) Super Saiyan 3	(武道家)(7天)超级赛亚人3	utf16
135	relocated_unique	tbl1.pak	0x016BE669	0x016BE715	(Martial) (7 days) Super Saiyan GOD	(武道家)(7天)超级赛亚人之神	utf16
136	relocated_unique	tbl1.pak	0x016BE6B5	0x016BE761	(Martial) (7 days) Super Saiyan Blue	(武道家)(7天)超级赛亚人蓝色	utf16
137	relocated_unique	tbl1.pak	0x016BE703	0x016BE7AF	(Martial) (7 days) Super Saiyan Rose	(武道家)(7天)超级赛亚人桃红	utf16
138	commented_ambiguous	tbl1.pak	0x016BE751		(Martial) (7 days) Super Saiyan Legendary	(武道家)(7天)传说超级赛亚人	hits=2
139	relocated_unique	tbl1.pak	0x016BE803	0x016BE8AF	(Martial) (7 days) Super Saiyan 4	(武道家)(7天)超级赛亚人4	utf16
140	converted_wildcard	tbl1.pak	0x016BE84B	*	(Spiritualist) (7 days) Super Saiyan 1	(气功师)(7天)超级赛亚人1	hits=2
141	relocated_unique	tbl1.pak	0x016BE8EF	0x016BE99B	(Spiritualist) (7 days) Super Saiyan 2	(气功师)(7天)超级赛亚人2	utf16
142	relocated_unique	tbl1.pak	0x016BE941	0x016BE9ED	(Spiritualist) (7 days) Super Saiyan 3	(气功师)(7天)超级赛亚人3	utf16
143	relocated_unique	tbl1.pak	0x016BE993	0x016BEA3F	(Spiritualist) (7 days) Super Saiyan GOD	(气功师)(7天)超级赛亚人之神	utf16
144	relocated_unique	tbl1.pak	0x016BE9E9	0x016BEA95	(Spiritualist) (7 days) Super Saiyan BLUE	(气功师)(7天)超级赛亚人蓝色	utf16
145	relocated_unique	tbl1.pak	0x016BEA41	0x016BEAED	(Spiritualist) (7 days) Super Saiyan Rose	(气功师)(7天)超级赛亚人桃红	utf16
146	commented_ambiguous	tbl1.pak	0x016BEA99		(Spiritualist) (7 days) Super Saiyan Legendary	(气功师)(7天)传说超级赛亚人	hits=2
147	relocated_unique	tbl1.pak	0x016BEAF9	0x016BEBA5	4(Spiritualist) (7 days) Super Saiyan Legendary Super	(气功师)(7天)传说超级赛亚人(超)	utf16
148	relocated_unique	tbl1.pak	0x016BEB69	0x016BEC15	(Spiritualist) (7 days) Super Saiyan 4	(气功师)(7天)超级赛亚人4	utf16
149	kept_valid	tbl0.pak	0x013BA1AD	0x013BA1AD	(Warrior) Potion Great Namek	(那美克战士)巨大那美克药水	utf16
150	kept_valid	tbl0.pak	0x013BA329	0x013BA329	(Warrior) Potion Kamiccolo	(那美克战士)卡米克洛药水	utf16
151	kept_valid	tbl0.pak	0x013BA4A5	0x013BA4A5	(Warrior) Potion Dark Namek	(那美克战士)黑暗那美克药水	utf16
152	kept_valid	tbl0.pak	0x013BA621	0x013BA621	(Warrior) Potion Great Orange	(那美克战士)巨大橙色药水	utf16
153	kept_valid	tbl0.pak	0x013BA79D	0x013BA79D	(Warrior) Potion Orange	(那美克战士)橙色药水	utf16
154	kept_valid	tbl0.pak	0x013BA919	0x013BA919	(Warrior) Potion Muscle Orange	(那美克战士)肌肉橙色药水	utf16
155	kept_valid	tbl0.pak	0x013BAA95	0x013BAA95	(Warrior) Potion Imperator	(那美克战士)帝王药水	utf16
156	kept_valid	tbl0.pak	0x013BE771	0x013BE771	(Warrior) Capsule Great Namek	(那美克战士)巨大那美克胶囊	utf16
157	kept_valid	tbl0.pak	0x013BE8ED	0x013BE8ED	(Warrior) Capsule Kamiccolo	(那美克战士)卡米克洛胶囊	utf16
158	kept_valid	tbl0.pak	0x013BEA69	0x013BEA69	(Warrior) Capsule Dark Namek	(那美克战士)黑暗那美克胶囊	utf16
159	kept_valid	tbl0.pak	0x013BEBE5	0x013BEBE5	(Warrior) Capsule Great Orange	(那美克战士)巨大橙色胶囊	utf16
160	kept_valid	tbl0.pak	0x013BED61	0x013BED61	(Warrior) Capsule Orange	(那美克战士)橙色胶囊	utf16
161	kept_valid	tbl0.pak	0x013BEEDD	0x013BEEDD	(Warrior) Capsule Muscle Orange	(那美克战士)肌肉橙色胶囊	utf16
162	kept_valid	tbl0.pak	0x013BF059	0x013BF059	(Warrior) Capsule Imperator	(那美克战士)帝王胶囊	utf16
163	relocated_unique	tbl1.pak	0x012EAE1B	0x012EAEC7	Skill! Power Up (Warrior)	技能!力量提升(那美克战士)	utf16
164	relocated_unique	tbl1.pak	0x012EB233	0x012EB2DF	Skill! Guard (Warrior)	技能!防御(那美克战士)	utf16
165	relocated_unique	tbl1.pak	0x012EB613	0x012EB6BF	Skill! Dash (Warrior)	技能!冲刺(那美克战士)	utf16
166	relocated_unique	tbl1.pak	0x012EBA33	0x012EBADF	Skill! Counter Attack (Warrior)	技能!反击(那美克战士)	utf16
167	converted_wildcard	tbl1.pak	0x015E2985	*	Flight Skill (Warrior)	飞行技能(那美克战士)	hits=2
168	relocated_unique	tbl1.pak	0x016B87FD	0x016B88A9	(Warrior)Imperator Namek	(那美克战士)帝王那美克	utf16
169	relocated_unique	tbl1.pak	0x016B8FA1	0x016B904D	(Warrior) Potion Great Namek	(那美克战士)巨大那美克药水	utf16
170	relocated_unique	tbl1.pak	0x016B8FDF	0x016B908B	(Warrior) Potion Kamiccolo	(那美克战士)卡米克洛药水	utf16
171	relocated_unique	tbl1.pak	0x016B9019	0x016B90C5	(Warrior) Potion Dark Namek	(那美克战士)黑暗那美克药水	utf16
172	relocated_unique	tbl1.pak	0x016B9055	0x016B9101	(Warrior) Potion Great Orange	(那美克战士)巨大橙色药水	utf16
173	relocated_unique	tbl1.pak	0x016B9095	0x016B9141	(Warrior) Potion Orange	(那美克战士)橙色药水	utf16
174	relocated_unique	tbl1.pak	0x016B90C9	0x016B9175	(Warrior) Potion Muscle Orange	(那美克战士)肌肉橙色药水	utf16
175	relocated_unique	tbl1.pak	0x016B910B	0x016B91B7	(Warrior) Potion Imperator	(那美克战士)帝王药水	utf16
176	relocated_unique	tbl1.pak	0x016BEBBB	0x016BEC67	(Warrior) (7 days) Great Namek	(那美克战士)(7天)巨大那美克	utf16
177	relocated_unique	tbl1.pak	0x016BEBFD	0x016BECA9	(Warrior) (7 days) Kamiccolo	(那美克战士)(7天)卡米克洛	utf16
178	relocated_unique	tbl1.pak	0x016BEC3B	0x016BECE7	(Warrior) (7 days) Dark Namek	(那美克战士)(7天)黑暗那美克	utf16
179	relocated_unique	tbl1.pak	0x016BEC7B	0x016BED27	(Warrior) (7 days) Great Orange	(那美克战士)(7天)巨大橙色	utf16
180	relocated_unique	tbl1.pak	0x016BECBF	0x016BED6B	(Warrior) (7 days) Orange	(那美克战士)(7天)橙色	utf16
181	relocated_unique	tbl1.pak	0x016BECF7	0x016BEDA3	(Warrior) (7 days) Muscle Orange	(那美克战士)(7天)肌肉橙色	utf16
182	relocated_unique	tbl1.pak	0x016BED3D	0x016BEDE9	(Warrior) (7 days) Imperator	(那美克战士)(7天)帝王	utf16
183	relocated_unique	tbl1.pak	0x017F1239	0x017F1385	Solo Dungeon Support	单人副本增益	utf16
184	relocated_unique	tbl1.pak	0x017F1267	0x017F13B3	Party Dungeon Support	组队副本增益	utf16
185	relocated_unique	tbl1.pak	0x0177897E	0x01778ACA	BID-4 Dungeon Manager	BID-4副本入场管理机	utf16
186	relocated_unique	tbl1.pak	0x01778A60	0x01778BAC	BID-5 Dungeon Manager	BID-5副本入场管理机	utf16
189	relocated_unique	tbl0.pak	0x01441F34	0x014420B0	HM 85 SEMI 2P	人类85半套2P	utf16
190	relocated_unique	tbl0.pak	0x01442038	0x014421B4	HM 85 FULL 3P	人类85全套3P	utf16
191	relocated_unique	tbl0.pak	0x0144213E	0x014422BA	AMEK 2P SEMI	那美克2P半套	utf16
192	commented_ambiguous	tbl0.pak	0x01442242		AMEK 3P FULL	那美克3P全套	hits=2
193	relocated_unique	tbl0.pak	0x01442346	0x014424C2	AJIN SEMI 2P	魔人半套2P	utf16
194	commented_ambiguous	tbl0.pak	0x0144244A		AJIN FULL 3P	魔人全套3P	hits=2
195	relocated_unique	tbl0.pak	0x01443280	0x014433FC	HM FULL 3P 90	人类全套3P90	utf16
196	relocated_unique	tbl0.pak	0x01443386	0x01443502	AMEK 3P FULL 90	那美克3P全套90	utf16
197	relocated_unique	tbl0.pak	0x0144348A	0x01443606	AJIN FULL 3P 90	魔人全套3P90	utf16
198	commented_ambiguous	tbl0.pak	0x0144358C		CHIP CON	芯片耐力	hits=3
199	commented_ambiguous	tbl0.pak	0x01443690		CHIP CD	芯片冷却	hits=3
200	commented_ambiguous	tbl0.pak	0x01443794		CHIP PROP	芯片属性	hits=3
201	relocated_unique	tbl0.pak	0x01443BA4	0x01443D20	CHIP FL PY	芯片飞行物理	utf16
202	relocated_unique	tbl0.pak	0x01443EB0	0x0144402C	HM 90 SEMI 2P	人类90半套2P	utf16
203	relocated_unique	tbl0.pak	0x01443FB4	0x01444130	HM 90 FULL 3P	人类90全套3P	utf16
204	relocated_unique	tbl0.pak	0x014440B8	0x01444234	MJ 90 SEMI 2P	魔人90半套2P	utf16
205	relocated_unique	tbl0.pak	0x014441BC	0x01444338	MJ 90 FULL 3P	魔人90全套3P	utf16
206	relocated_unique	tbl0.pak	0x014442C0	0x0144443C	NM 90 SEMI 2P	那美克90半套2P	utf16
207	relocated_unique	tbl0.pak	0x014443C4	0x01444540	NM 90 FULL 3P	那美克90全套3P	utf16
208	commented_ambiguous	tbl0.pak	0x014444C8		RING FULY	戒指全套	hits=2
209	relocated_unique	tbl0.pak	0x014445CC	0x01444748	EARN FULY	耳环全套	utf16
210	relocated_unique	tbl0.pak	0x014446D0	0x0144484C	EARN SEM	耳环半套	utf16
211	commented_ambiguous	tbl0.pak	0x01444BE4		Soul Force Diference	灵魂力量差异	hits=4
212	commented_ambiguous	tbl0.pak	0x01444CE8		Soul Force Agility	灵魂力量敏捷	hits=4
213	commented_ambiguous	tbl0.pak	0x01444DEC		Soul Force Recovery	灵魂力量恢复	hits=4
214	commented_ambiguous	tbl0.pak	0x0179324C		TYPE-A	A型	hits=392
215	commented_ambiguous	tbl0.pak	0x0179630C		TYPE-B	B型	hits=396
216	commented_ambiguous	tbl0.pak	0x017993CC		TYPE-C	C型	hits=386
217	commented_ambiguous	tbl0.pak	0x017AF850		Type-A	A型	hits=7
218	commented_ambiguous	tbl0.pak	0x017AFA58		Type-C	C型	hits=7
219	commented_ambiguous	tbl0.pak	0x017B96B8		TYPE-A(P2)	A型(P2)	hits=14
220	commented_ambiguous	tbl0.pak	0x017B97BC		TYPE-A(P3)	A型(P3)	hits=14
221	commented_ambiguous	tbl0.pak	0x017BB738		TYPE-B(P2)	B型(P2)	hits=14
222	commented_ambiguous	tbl0.pak	0x017BB83C		TYPE-B(P3)	B型(P3)	hits=14
223	commented_ambiguous	tbl0.pak	0x017BD7B8		TYPE-C(P2)	C型(P2)	hits=14
224	commented_ambiguous	tbl0.pak	0x017BD8BC		TYPE-C(P3)	C型(P3)	hits=14
225	commented_ambiguous	tbl0.pak	0x017BF83C		TYPE-A (2P)	A型(2P)	hits=41
226	commented_ambiguous	tbl0.pak	0x017BF940		TYPE-B (2P)	B型(2P)	hits=39
227	commented_ambiguous	tbl0.pak	0x017BFA44		TYPE-C (2P)	C型(2P)	hits=39
228	relocated_unique	tbl0.pak	0x017CBA24	0x017CBBA0	Hakai Rings	破坏戒指	utf16
229	relocated_unique	tbl0.pak	0x017F7154	0x017F72D0	Red Puar Egg	红色普尔蛋	utf16
230	commented_ambiguous	tbl0.pak	0x017F71DC		Red Puar 2	红色普尔2	hits=2
231	commented_ambiguous	tbl0.pak	0x017F7264		Red Puar 3	红色普尔3	hits=2
232	commented_ambiguous	tbl0.pak	0x017F72EC		Red Puar 4	红色普尔4	hits=2
233	relocated_unique	tbl0.pak	0x017F7374	0x017F74F0	White Underwear Egg	白色内衣蛋	utf16
234	relocated_unique	tbl0.pak	0x017F73FC	0x017F7578	White Underwear 2	白色内衣2	utf16
235	relocated_unique	tbl0.pak	0x017F7484	0x017F7600	White Underwear 3	白色内衣3	utf16
236	relocated_unique	tbl0.pak	0x017F750C	0x017F7688	White Underwear 4	白色内衣4	utf16
237	relocated_unique	tbl0.pak	0x017F7594	0x017F7710	Pink Underwear Egg	粉色内衣蛋	utf16
238	relocated_unique	tbl0.pak	0x017F761C	0x017F7798	Pink Underwear 2	粉色内衣2	utf16
239	relocated_unique	tbl0.pak	0x017F76A4	0x017F7820	Pink Underwear 3	粉色内衣3	utf16
240	relocated_unique	tbl0.pak	0x017F772C	0x017F78A8	Pink Underwear 4	粉色内衣4	utf16
