来源	文件	位置	原文	参考译文	填写中文	长度状态
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_FINAL	Finals			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_SEMIFINAL	Semi-finals			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_SEMIFINAL_WAIT	Semi-final standby			
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_ALIVE_TITLE	Alive			
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_ENEMY_NAME_TITLE	Name			
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_INFO_TITLE	Battle Royale			
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_INFO_TITLE_BATTLE	Qualifiers			
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_INFO_TITLE_WAIT	Qualifier standby			
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_KOCOUNTER_TITLE	K.O			
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_TOTAL_TITLE	Total			
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_READY_NOTIFY	%u ready up			
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_SCORE_NOTIFY	%s Score Results %u			
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_SCORE_NOTIFY_TEAM	%s Team Result ( %u )			
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_WIN_NOTIFY	%s Won %u			
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_WIN_NOTIFY_TEAM	%s team has won %u			
UI	lang0.pak	DST_BUDOKAI_MINOR_KILL_ANNOUNCE	%s Killed %s 			
UI	lang0.pak	DST_BUDOKAI_MINOR_WAIT_FOR_DICE_NOTIFY	Please Wait I'm Busy			
UI	lang0.pak	DST_BUDOKAI_MINOR_WAIT_FOR_KO	%d seconds to KO			
UI	lang0.pak	DST_BUDOKAI_MINOR_WAIT_FOR_RINGOUT	%d seconds to ring out			
UI	lang0.pak	DST_BUDOKAI_MUDOSA_INFO	Mudosa Village %d			
UI	lang0.pak	DST_BUDOKAI_MUDOSA_TELEPOR_INFO	TP INFO: 200,000 Zeni Fee			
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_INDIREQ	Join Solo			
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_TEAMREQ	Join Team			
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_TICKET	Receipt			
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_TOURNAMENT	Tournament			
UI	lang0.pak	DST_BUDOKAI_NEWS_CAN_ONLY_LEADER	Party Leader Apply			
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_AWARD	Budokai is closed!			
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_DOJORECOMMEND	Best Dojo			
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_MAJOR	Tournament Qualifiers			
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_OPENNOTICE	Budokai is open!			
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_REGISTER	Register now!			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_INDI_STATE	You are a solo %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_FINAL_MATCH	%s final match started.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_MAJOR_MATCH	%s %s in progress.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_MATCH_END	%s is over.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_MINOR_MATCH	%s qualifiers started.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_REGISTER	%s registration ends in %s.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_SEMIFINAL_MATCH	%s semi-finals started.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_FINAL_MATCH	%s finals start in %s.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_MAJOR_MATCH	%s %s will start in %s.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_MINOR_MATCH	%s qualifiers will start in %s.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_SEMIFINAL_MATCH	%s semi-finals start in %s.			
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_TEAM_STATE	You're in a Party %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_MUDOSA_ENTER_LEFT_TIME	Entry Time: %s left.			
UI	lang0.pak	DST_BUDOKAI_NEWS_NEXT_MUDOSA_OPEN	Next round: %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOPLAN	Undecided			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_DOJO_TITLE	Dojo			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_MINOR_TITLE	Application Period			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME	%d month %d day %s %d:%02d			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME_FULL	%s ~ %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_INDI_REGISTER	Sign Up			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_INDI_STATE	State Info			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_INDI_WINNER	1st/2nd			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_NOT_PRIZE	No Winners			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_SECOND_WINNER	2nd: %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_TEAM_SECOND_WINNER	2nd: %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_TEAM_WINNER	1st: %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_WINNER	1st: %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_TEAM_REGISTER	Team Sign Up			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_TEAM_STATE	Team State Info			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_TEAM_WINNER	Team 1st/2nd			
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_WAIT_GUIDE	%s duration: %s			
UI	lang0.pak	DST_BUDOKAI_NEWS_NTOCIE_NOT_PRIZE_TEAM	No Winning Party			
UI	lang0.pak	DST_BUDOKAI_NEWS_TITLE	Tenkaichi Budokai Nr. %d 			
UI	lang0.pak	DST_BUDOKAI_NEWS_YOU_ARE_NOT_ENTRANT	You have not signed up.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_DATA_LOADING	Loading Data...			
UI	lang0.pak	DST_BUDOKAI_NOTICE_DOJO_RECOMMEND	%s recommendations.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_END	%s %s Awards in progress.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_FINAL_MATCH	%s %s finals have started.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_MAJOR_MATCH	%s %s %s has begun.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_MINOR_MATCH	%s %s qualifiers have started.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_OPEN_NOTICE	Tournament %s is starting.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_PARTY	Party			
UI	lang0.pak	DST_BUDOKAI_NOTICE_REGISTER	%s %s apply for qualifiers.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_SEMIFINAL_MATCH	%s %s semi-finals have started.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_SOLO	Solo			
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_FINAL_MATCH	%s %s finals will start soon.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_MAJOR_MATCH	%s %s %s will start soon.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_MINOR_MATCH	%s %s qualifiers will start soon.			
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_SEMIFINAL_MATCH	%s %s semi-finals will start soon.			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_16_DROPOUT	RO16 contestant			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_16_ENTRY	RO16 finalist			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_32_DROPOUT	RO32 contestant			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_32_ENTRY	RO32 finalist			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_8_DROPOUT	RO8 contestant			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_8_ENTRY	RO8 finalist			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_FINAL_ENTRY	Finalist			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_FINAL_WINNER	Winner			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_MINOR_APPLICANT	Qualifier			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_MINOR_DROPOUT	Contestant			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_MINOR_ENTRY	Qualifier finalist			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_NONE	N/A			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_PRIZE_WINNER	Winner			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_SEMIFINAL_ENTRY	Semi-finalist			
UI	lang0.pak	DST_BUDOKAI_PC_STATE_SEMIFINAL_WINNER	Runner-up			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_16	RO16			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_32	RO32			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_8	RO8			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_END	All battles have ended.			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_FINAL_WAIT_LOSER	Upcoming: Final			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_FINAL_WAIT_LOSER1	Stay & Be Rewarded			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_ALL_FINISHED	%s all finished			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_BEFORE_10SEC	10s %s goes into the arena			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_DECISION_NEXT	%s will continue			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_END	%s - %s Battle ended			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_LOSER	%s has Lost			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_WINNER	%s has Won			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINOR	Qualifier			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_BEFORE_1MIN	Tournament starts soon			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_BEFORE_1MIN2	Registration close soon			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_ENTERING	Enter the Tournament			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_ENTERING2	Please Join			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_RECEIVE_NEWS	Budokai Announcement			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_SEMI_FINAL_RUNNING	Semi Final On-Going			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_SF	Semi-final			
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_START	The Tournament is about to Start!			
UI	lang0.pak	DST_BUDOKAI_REGISTER_INFO_TITLE	Registration period			
UI	lang0.pak	DST_BUDOKAI_REQUEST_FINAL	Final			
UI	lang0.pak	DST_BUDOKAI_REQUEST_MAJOR	Qualification			
UI	lang0.pak	DST_BUDOKAI_REQUEST_MINOR	Preliminary			
UI	lang0.pak	DST_BUDOKAI_REQUEST_TITLE	Application			
UI	lang0.pak	DST_BUDOKAI_REQ_BUTTON_ACCEPT	yes			
UI	lang0.pak	DST_BUDOKAI_REQ_BUTTON_CANCEL	Cancel			
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE	"[font size=""14""color=""000000""]That was a great battle![br][br]You'll be moved out soon!"			
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE_FINAL	"[font size=""14""color=""000000""]What's this? Ladies and gentlemen we finally have a winner![br][br]That was amazing, congratulations!"			
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE_SEMIFINAL_1	"[font size=""14""color=""000000""]What an amazing fight![br][br]It was worth seeing!"			
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE_SEMIFINAL_2	"[font size=""14""color=""000000""]Next fight will start soon.[br][br]I wish you good luck and hope you win!"			
UI	lang0.pak	DST_BUDOKAI_RESULT_POINT_WINNER_GUIDE	%s team member %s must decide %d : %d.			
UI	lang0.pak	DST_BUDOKAI_SIDEICON_TITLE	Tenkaichi Budokai			
UI	lang0.pak	DST_FFA_ARENA_SIDEICON_TITLE	PvP Arena (FFA)			
UI	lang0.pak	DST_FFA_ARENA_NOTIFY_OPEN	Event window open. Registered: %d. Use Register in the side panel.			
UI	lang0.pak	DST_FFA_ARENA_NOTIFY_READY	%d players registered. Teleport starts when the match begins.			
UI	lang0.pak	DST_FFA_ARENA_NOTIFY_COMBAT	FFA combat in progress. Fighters in arena: %d.			
UI	lang0.pak	DST_FFA_ARENA_HELP_BODY	"[font color=""FFFFFF""]Free-for-all PvP arena event.[br][br]• Open this panel and tap Register during the event window.[br]• With 2+ players you are teleported automatically.[br]• Fight until the event ends.[br][br]Ask city NPCs for schedule info.[/font]"			
UI	lang0.pak	DST_FFA_ARENA_REGISTER_BTN	Register			
UI	lang0.pak	DST_FFA_ARENA_REGISTER_ALREADY	You are already registered for this event.			
UI	lang0.pak	DST_FFA_ARENA_REGISTER_NOT_ACTIVE	The event is not open.			
UI	lang0.pak	DST_FFA_ARENA_REGISTER_NOT_READY	The arena is not configured on this server.			
UI	lang0.pak	DST_FFA_ARENA_REGISTER_FAIL	Registration failed.			
UI	lang0.pak	DST_FFA_ARENA_RANK_HEADER	Player Kills			
UI	lang0.pak	DST_FFA_ARENA_RANK_EMPTY	No registered players yet.			
UI	lang0.pak	DST_FFA_ARENA_RANK_CLOSE	Close			
UI	lang0.pak	DST_BUDOKAI_SUCCESS_APPLICATION	%s Application completed.			
UI	lang0.pak	DST_BUDOKAI_SUCCESS_GUIDE	%s's Number : 			
UI	lang0.pak	DST_BUDOKAI_SUCCESS_MEMBER	Team			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_CLASS	Class			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_DOJO_RECOMMAND	Leader			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_GUILD_NAME	Guild			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_LEVEL	Level			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_LEVEL_CLASS	Lv.%u %s			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_LEVEL_VALUE	Lv.%u			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_MATCH_NAME_COMMON	%d Elimination Round %u			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_MATCH_NAME_FINAL	Finals			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_MATCH_NAME_SEMIFINAL	Semi Final %u			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_NOT_IN_GUILD	Not in a Guild			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_PRIVATE_RECORD	Battle Ranked			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_RANKING_POINT	World Ranking Points			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_RECORD	Ranked Battle			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_RECORD_DATA	%u I %u W %u L			
UI	lang0.pak	DST_BUDOKAI_TEAMINFO_TITLE	Match Info			
UI	lang0.pak	DST_BUDOKAI_TEAM_LEAVE_NOTIFY	The leader cancelled the registration.			
UI	lang0.pak	DST_BUDOKAI_TEAM_MEMBER_LEAVE_NOTIFY	%s Request to cancel.			
UI	lang0.pak	DST_BUDOKAI_TEAM_REQ_CANCEL	"[align = ""center""][font size=""12""color=""f4d762""]Team Registration Cancel[/font][br][br][font size=""10""color=""f36a7c""]Are you sure to Cancel?[/font]"			
UI	lang0.pak	DST_BUDOKAI_TEAM_REQ_TEAMLEVEL	Level %d			
UI	lang0.pak	DST_BUDOKAI_TEAM_REQ_TEAMNAME	Name : 			
UI	lang0.pak	DST_BUDOKAI_TELEPORT_MSG_MATCH	%s Stadium			
UI	lang0.pak	DST_BUDOKAI_TELEPORT_MSG_TBSERVER	Mudosa			
UI	lang0.pak	DST_BUDOKAI_TICKET_TITLE	Ticket			
UI	lang0.pak	DST_BUDOKAI_TIME_DAY	%d day			
UI	lang0.pak	DST_BUDOKAI_TIME_HOUR	%d hour			
UI	lang0.pak	DST_BUDOKAI_TIME_MINUTE	%d minute			
UI	lang0.pak	DST_BUDOKAI_TIME_SECOND	%d second			
UI	lang0.pak	DST_BUDOKAI_TOURNAMENT_A_GROUP	Group A			
UI	lang0.pak	DST_BUDOKAI_TOURNAMENT_B_GROUP	Group B			
UI	lang0.pak	DST_BUDOKAI_TOURNAMENT_FINAL	Final			
UI	lang0.pak	DST_BUDOKAI_TOURNAMENT_INFO_1	Qualifiers will continue.			
UI	lang0.pak	DST_BUDOKAI_TYPE_ADULT_TITLE	Senior			
UI	lang0.pak	DST_BUDOKAI_TYPE_CHILD_TITLE	Kid			
UI	lang0.pak	DST_BUFF_ACTIVATE_BUFF_MSG	%s Buff Activated			
UI	lang0.pak	DST_BUFF_CAN_NOT_DELETE_SUB_BUFF_MSG	Can't Remove Buff			
UI	lang0.pak	DST_BUFF_CAN_NOT_DROP_TEXT	Can't Remove			
UI	lang0.pak	DST_BUFF_DEACTIVATE_BUFF_MSG	Buff: %s Disabled			
UI	lang0.pak	DST_BUFF_DROP_TEXT	Click icon to disable/enable or remove buff			
UI	lang0.pak	DST_BUFF_MB_DELETE_SUB_BUFF_MSG	"[align = ""center""][font size=""12""color=""f4d762""]Buff Removal[/font][br][br][font size=""10""color=""269eff""]Remove Buff: %s ?[/font][br][br][font size=""10""color=""f4d762""]INFO: Autopots can't be removed but you can [br]disable/enable them.[/font]"			
UI	lang0.pak	DST_BUFF_REMAIN_TIME	Cooldown : %s			
UI	lang0.pak	DST_BUFF_RESTRICTION	Buff Restriction			
UI	lang0.pak	DST_BURN_DEFENCE	Burn Def.			
UI	lang0.pak	DST_BUS_ASK_GET_OFF	"[align = ""center""][font size=""12""color=""f4d762""]Stopping Bus[/font] [br][br][font size=""10""color=""269eff""]Get off before reaching the next stop.[/font][br][br][font size=""10""color=""ffffff""]Get off the Bus?[/font]"			
UI	lang0.pak	DST_BUS_ASK_GET_ON	Ride Bus?			
UI	lang0.pak	DST_BUS_SUCCESS_GET_ON	Paid %u			
UI	lang0.pak	DST_CAN_NOT_ALTAR	Can't use Shenron's altar			
UI	lang0.pak	DST_CAN_NOT_OPEN_MORE_REGULAR_DIALOG	Too many windows open			
UI	lang0.pak	DST_CASH	Cash			
UI	lang0.pak	DST_CASH_ITEM	Cash Items			
UI	lang0.pak	DST_CAUTION_SIDEICON_TITLE	Warning Messages			
UI	lang0.pak	DST_CCBD	CC Dungeon			
UI	lang0.pak	DST_CCBD_AGREE_CANCEL_ENTER	Cancel			
UI	lang0.pak	DST_CCBD_AGREE_CHALLENGE_STAGE	Floor : %d			
UI	lang0.pak	DST_CCBD_AGREE_CHAR_NAME	Name			
UI	lang0.pak	DST_CCBD_AGREE_ENTER	Enter			
UI	lang0.pak	DST_CCBD_AGREE_READY	Ready			
UI	lang0.pak	DST_CCBD_AGREE_STAND_BY	Wait			
UI	lang0.pak	DST_CCBD_AGREE_STATE	Status			
UI	lang0.pak	DST_CCBD_AGREE_TITLE	Enter			
UI	lang0.pak	DST_CCBD_BOARD_CHALLEGNE	Challenge Settings			
UI	lang0.pak	DST_CCBD_BOARD_EXPLAIN	"[font size = ""7""]Participants who enter CC Battle Dungeon will fight enemies on each floor.[br]Each floor's difficulty is different. Every 5th floor will be a boss floor, and once boss is defeated you have the option to take reward and leave or carry on.[/font][br][font size = ""8"" color = ""f36a7c""]Recommended Level: 50[/font][br][font size = ""8"" color = ""ffff68""]Higher floors give better rewards![/font]"			
UI	lang0.pak	DST_CCBD_BOARD_SETUP	Setup			
UI	lang0.pak	DST_CCBD_BOARD_SETUP_COMPLETE	Complete			
