source_text_sample	source_hash	occurrences	surface_count	surfaces	locations	manual_translations
Earring	78569bec2913	18	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_EARRING | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_EARRING | tbl:tbl1.pak:0x016C990A | tbl:tbl1.pak:0x016C9972 | tbl:tbl1.pak:0x016C99DA | tbl:tbl1.pak:0x016C9A42 | tbl:tbl1.pak:0x016C9AAA | tbl:tbl1.pak:0x013A3433 | tbl:tbl1.pak:0x013A34A5 | tbl:tbl1.pak:0x013A3517 | tbl:tbl1.pak:0x013A3589 | tbl:tbl1.pak:0x013A35FB | tbl:tbl1.pak:0x013A366D | tbl:tbl1.pak:0x0186348F | tbl:tbl1.pak:0x0186F41B | tbl:tbl1.pak:0x0186F481 | tbl:tbl1.pak:0x0186F4E3 | tbl:tbl1.pak:0x0186F549	耳环 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_EARRING] | 耳环 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_EARRING]
Featuring Naruto.	b13285b7cce5	17	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111700193:0 | tbl:tbl1.pak:0x012D8F75 | tbl:tbl1.pak:0x015D3FB5 | tbl:tbl1.pak:0x015E8D07 | tbl:tbl1.pak:0x0162A7F7 | tbl:tbl1.pak:0x0162A965 | tbl:tbl1.pak:0x0162B703 | tbl:tbl1.pak:0x0162B74F | tbl:tbl1.pak:0x0162BB6D | tbl:tbl1.pak:0x0162BB95 | tbl:tbl1.pak:0x0162BBBD | tbl:tbl1.pak:0x0162C74F | tbl:tbl1.pak:0x0162CA8B | tbl:tbl1.pak:0x016878A7 | tbl:tbl1.pak:0x016878F9 | tbl:tbl1.pak:0x0168A63F | tbl:tbl1.pak:0x016914AB	
Sub Weapon	ffe8c8e988c7	17	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_SUB_WEAPON | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_SUB_WEAPON | lang0:lang0.pak:DST_MARKET_SUBWEAPON | tbl:tbl1.pak:0x016C3C8C | tbl:tbl1.pak:0x016C5354 | tbl:tbl1.pak:0x016C55E8 | tbl:tbl1.pak:0x016C5CB4 | tbl:tbl1.pak:0x016C5E56 | tbl:tbl1.pak:0x016C6080 | tbl:tbl1.pak:0x016C66C2 | tbl:tbl1.pak:0x016C67D0 | tbl:tbl1.pak:0x016C7F38 | tbl:tbl1.pak:0x016C8036 | tbl:tbl1.pak:0x016C8134 | tbl:tbl1.pak:0x016C8232 | tbl:tbl1.pak:0x016C9CAA | tbl:tbl1.pak:0x016C9D74	副武器 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_SUB_WEAPON] | 副武器 [lang0:lang0.pak:DST_MARKET_SUBWEAPON]
Weapon	ead533685e26	17	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_HAND | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_HAND | lang0:lang0.pak:DST_MARKET_WEAPON | lang0:lang0.pak:DST_SCOUTER_PC_VIEWER_WEAPON | tbl:tbl1.pak:0x016C3526 | tbl:tbl1.pak:0x016C3580 | tbl:tbl1.pak:0x016C35DA | tbl:tbl1.pak:0x016C4432 | tbl:tbl1.pak:0x016C4970 | tbl:tbl1.pak:0x016C68E4 | tbl:tbl1.pak:0x016C7F26 | tbl:tbl1.pak:0x016C8024 | tbl:tbl1.pak:0x016C8122 | tbl:tbl1.pak:0x016C8220 | tbl:tbl1.pak:0x016C978C | tbl:tbl1.pak:0x016C9C56 | tbl:tbl1.pak:0x0186327B	武器 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_HAND] | 主武器 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_HAND] | 武器 [lang0:lang0.pak:DST_MARKET_WEAPON]
Created by Ryo, Kunay, Takashi and Tobi	1b28d14fd082	16	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:99171:0 | taiwan:table_text_all_data.rdf:3:99172:0 | taiwan:table_text_all_data.rdf:3:99173:0 | taiwan:table_text_all_data.rdf:3:99174:0 | taiwan:table_text_all_data.rdf:3:99176:0 | taiwan:table_text_all_data.rdf:3:99178:0 | taiwan:table_text_all_data.rdf:3:99180:0 | taiwan:table_text_all_data.rdf:3:99181:0 | tbl:tbl1.pak:0x012D9F0B | tbl:tbl1.pak:0x012D9F5F | tbl:tbl1.pak:0x012D9FB3 | tbl:tbl1.pak:0x012DA007 | tbl:tbl1.pak:0x012DA0C7 | tbl:tbl1.pak:0x012DA127 | tbl:tbl1.pak:0x012DA209 | tbl:tbl1.pak:0x012DA25D	
Not in use	99ce9af38e30	15	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2412501:0 | taiwan:table_text_all_data.rdf:6:3222101:0 | taiwan:table_text_all_data.rdf:6:3241101:0 | taiwan:table_text_all_data.rdf:6:4371308:0 | taiwan:table_text_all_data.rdf:6:4511604:0 | taiwan:table_text_all_data.rdf:6:6313101:0 | taiwan:table_text_all_data.rdf:6:7073101:0 | taiwan:table_text_all_data.rdf:6:7134101:0 | taiwan:table_text_all_data.rdf:6:8032102:0 | taiwan:table_text_all_data.rdf:6:8511110:0 | tbl:tbl1.pak:0x0172CAE8 | tbl:tbl1.pak:0x0172CB12 | tbl:tbl1.pak:0x017347D0 | tbl:tbl1.pak:0x0173526A | tbl:tbl1.pak:0x01735D6C	
Colossus	ce1c631db455	14	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:5170070:0 | taiwan:table_text_all_data.rdf:3:5570070:0 | taiwan:table_text_all_data.rdf:3:5970070:0 | taiwan:table_text_all_data.rdf:3:6770070:0 | taiwan:table_text_all_data.rdf:3:7570030:0 | taiwan:table_text_all_data.rdf:3:7572530:0 | taiwan:table_text_all_data.rdf:3:7575030:0 | tbl:tbl1.pak:0x01368C25 | tbl:tbl1.pak:0x013B8BA7 | tbl:tbl1.pak:0x01401BCF | tbl:tbl1.pak:0x0148D4C5 | tbl:tbl1.pak:0x014FBAE5 | tbl:tbl1.pak:0x014FBBA3 | tbl:tbl1.pak:0x014FBC61	
Krillin	a100b970f280	14	2	taiwan,tbl	taiwan:table_text_all_data.rdf:5:44982101:0 | tbl:tbl1.pak:0x0172D86A | tbl:tbl1.pak:0x0172D87E | tbl:tbl1.pak:0x0172D892 | tbl:tbl1.pak:0x0172D8A6 | tbl:tbl1.pak:0x0172D8BA | tbl:tbl1.pak:0x0172D8CE | tbl:tbl1.pak:0x0172D8E2 | tbl:tbl1.pak:0x0172D8F6 | tbl:tbl1.pak:0x0172D90A | tbl:tbl1.pak:0x0172D91E | tbl:tbl1.pak:0x0172D932 | tbl:tbl1.pak:0x0177896C | tbl:tbl1.pak:0x017133A7	克林 [taiwan:table_text_all_data.rdf:5:44982101:0] | 克林 [tbl:tbl1.pak:*]
KAME HOUSE	7d9f41e24ea2	13	2	taiwan,tbl	taiwan:table_text_all_data.rdf:10:100131000:0 | taiwan:table_text_all_data.rdf:10:100132001:0 | taiwan:table_text_all_data.rdf:10:100161000:0 | taiwan:table_text_all_data.rdf:10:100161010:0 | taiwan:table_text_all_data.rdf:10:100161011:0 | taiwan:table_text_all_data.rdf:10:100170000:0 | tbl:tbl1.pak:0x0180D1A8 | tbl:tbl1.pak:0x0180D1E6 | tbl:tbl1.pak:0x0180D846 | tbl:tbl1.pak:0x0180D860 | tbl:tbl1.pak:0x0180D87A | tbl:tbl1.pak:0x0180DA18 | tbl:tbl1.pak:0x019D0316	
0	b6589fc6ab0d	11	2	lang0,taiwan	taiwan:table_text_all_data.rdf:5:9991107:0 | taiwan:table_text_all_data.rdf:5:9991108:0 | taiwan:table_text_all_data.rdf:5:9991109:0 | taiwan:table_text_all_data.rdf:5:9994110:0 | taiwan:table_text_all_data.rdf:5:9994111:0 | taiwan:table_text_all_data.rdf:5:9995107:0 | taiwan:table_text_all_data.rdf:5:9995108:0 | taiwan:table_text_all_data.rdf:5:9995109:0 | taiwan:table_text_all_data.rdf:5:9995112:0 | taiwan:table_text_all_data.rdf:6:27312010:0 | lang0:lang0.pak:DST_ITEMUPGRADE_INFO_HOIPOI_SLOT_EMPTY_LINE2_2	
GBT-Hope	16682ec0602a	11	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413107:0 | taiwan:table_text_all_data.rdf:6:2413109:0 | taiwan:table_text_all_data.rdf:6:2413114:0 | taiwan:table_text_all_data.rdf:11:347:0 | tbl:tbl1.pak:0x0051561A | tbl:tbl1.pak:0x00515A72 | tbl:tbl1.pak:0x0051654E | tbl:tbl1.pak:0x01727572 | tbl:tbl1.pak:0x017275A2 | tbl:tbl1.pak:0x01727626 | tbl:tbl1.pak:0x0181A957	
ok	7a85f4764bbd	11	2	lang0,taiwan	taiwan:table_text_all_data.rdf:1:100002:0 | lang0:lang0.pak:DST_DBC_ITEM_OK | lang0:lang0.pak:DST_DOJO_SCRAMBLE_ACCEPT_CHALLENGE_OK_BTN | lang0:lang0.pak:DST_DOJO_SCRAMBLE_ASK_CHALLENGE_OK_BTN | lang0:lang0.pak:DST_DOJO_SCRAMBLE_ASK_TELEPORT_OK_BTN | lang0:lang0.pak:DST_HLS_CONFIRM_BTN_OK | lang0:lang0.pak:DST_LOBBY_OK | lang0:lang0.pak:DST_MSG_BTN_OK | lang0:lang0.pak:DST_RB_OK | lang0:lang0.pak:DST_TRADECART_OK | lang0:lang0.pak:DST_TREASUREOK	OK [lang0:lang0.pak:DST_LOBBY_OK] | OK [lang0:lang0.pak:DST_MSG_BTN_OK]
Upgrade	a6f47e00e036	11	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_DOJO_UPGRADE | lang0:lang0.pak:DST_DOJO_RUN_UPGRADE | lang0:lang0.pak:DST_DOJO_UPGRADE | lang0:lang0.pak:DST_ITEMUPGRADE_BTN_COMPOUND | lang0:lang0.pak:DST_ITEMUPGRADE_EX_CON | lang0:lang0.pak:DST_ITEMUPGRADE_EX_SELECT | lang0:lang0.pak:DST_ITEMUPGRADE_INFOTITLE | lang0:lang0.pak:DST_MARKET_SCOUTER_PART | lang0:lang0.pak:DST_MASCOTEX_SKILLBUTTON | lang0:lang0.pak:DST_MULTIDIALOG_MENU_SMITH_UPGRADE | tbl:tbl1.pak:0x01862121	升级 [taiwan:local_data.dat:DST_DOJO_UPGRADE] | 升级 [lang0:lang0.pak:DST_MARKET_SCOUTER_PART]
KAME HOUSE;	aa613c7a7eed	10	2	taiwan,tbl	taiwan:table_text_all_data.rdf:10:200231000:0 | taiwan:table_text_all_data.rdf:10:200261000:0 | taiwan:table_text_all_data.rdf:10:200261010:0 | taiwan:table_text_all_data.rdf:10:200261011:0 | taiwan:table_text_all_data.rdf:10:200270000:0 | tbl:tbl1.pak:0x01815E4A | tbl:tbl1.pak:0x01816A7E | tbl:tbl1.pak:0x01816A9A | tbl:tbl1.pak:0x01816AB6 | tbl:tbl1.pak:0x01816C9E	
Control	ea1d3df298ca	9	2	lang0,tbl	lang0:lang0.pak:DST_OPTION_CONTROL_TEXT_TITLE | tbl:tbl1.pak:0x017E9685 | tbl:tbl1.pak:0x017E970B | tbl:tbl1.pak:0x017E9791 | tbl:tbl1.pak:0x017E9817 | tbl:tbl1.pak:0x017ED549 | tbl:tbl1.pak:0x017ED5CF | tbl:tbl1.pak:0x017ED655 | tbl:tbl1.pak:0x017ED6DB	控制 [lang0:lang0.pak:DST_OPTION_CONTROL_TEXT_TITLE]
Reward	c7d7652ec6a7	9	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_REWARD | lang0:lang0.pak:DST_CCBD_REWARD_SELECT_REWARD | lang0:lang0.pak:DST_CCBD_REWARD_STATE_SELECTED_REWARD | lang0:lang0.pak:DST_CCBD_REWARD_TITLE_LAST | lang0:lang0.pak:DST_DWC_REWARD | lang0:lang0.pak:DST_QUESTREWARD_PROB_REWARD | lang0:lang0.pak:DST_QUESTREWARD_TEXT_BASIC | lang0:lang0.pak:DST_QUEST_REWARD_BTN | lang0:lang0.pak:DST_QUEST_REWARD_WINDOW_TITLE	
Skills	e09212c7d3ea	9	2	lang0,tbl	lang0:lang0.pak:DST_MAINMENU_SKILL | lang0:lang0.pak:DST_MASCOTEX_SKILL | lang0:lang0.pak:DST_MULTIDIALOG_MENU_SKILL | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_SKILL | lang0:lang0.pak:DST_SKILL_NOTYFY_LEARN_SELF_SKILL_TITLE | lang0:lang0.pak:DST_SKILL_WINDOW_TITLE | lang0:lang0.pak:DST_TELEPORT_TYPE_SKILL | tbl:tbl1.pak:0x018634B1 | tbl:tbl1.pak:0x018634C3	技能 [lang0:lang0.pak:DST_MAINMENU_SKILL] | 技能 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_SKILL] | 技能 [lang0:lang0.pak:DST_SKILL_WINDOW_TITLE]
Target	61ad50a9b918	9	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_DWC_TARGET | lang0:lang0.pak:DST_DWC_TARGET | lang0:lang0.pak:DST_OPTION_CONTROL_CATEGORY_TARGET | lang0:lang0.pak:DST_QUEST_TEXT_AIM | lang0:lang0.pak:DST_SKILL_TARGET_AND_RANGE_INFO28 | lang0:lang0.pak:DST_SKILL_TARGET_AND_RANGE_INFO9 | tbl:tbl1.pak:0x016C7E86 | tbl:tbl1.pak:0x01860821 | tbl:tbl1.pak:0x0186791F	目标 [taiwan:local_data.dat:DST_DWC_TARGET] | 目标 [lang0:lang0.pak:DST_SKILL_TARGET_AND_RANGE_INFO9] | 目标 [lang0:lang0.pak:DST_SKILL_TARGET_AND_RANGE_INFO28] | 目标 [lang0:lang0.pak:DST_OPTION_CONTROL_CATEGORY_TARGET]
